"Анализ данных в основном является для Вас:","Обработка данных:В круг ваших обязанностей входит:","Базовая статистика:В круг ваших обязанностей входит:","Разработка моделей (исследования):В круг ваших обязанностей входит:","Разработка моделей (для регулярных расчетов):В круг ваших обязанностей входит:","Развертывание моделей в продакшн:В круг ваших обязанностей входит:","Визуализация данных:В круг ваших обязанностей входит:","Другое — впишите::В круг ваших обязанностей входит:","Обработка данных:В круг ваших интересов входит:","Базовая статистика:В круг ваших интересов входит:","Разработка моделей (исследования):В круг ваших интересов входит:","Разработка моделей (для регулярных расчетов):В круг ваших интересов входит:","Развертывание моделей в продакшн:В круг ваших интересов входит:","Визуализация данных:В круг ваших интересов входит:","Другое — впишите::В круг ваших интересов входит:","Не использую:Какие языки программирования Вы регулярно используете для анализа данных?","R:Какие языки программирования Вы регулярно используете для анализа данных?","Python:Какие языки программирования Вы регулярно используете для анализа данных?","Java:Какие языки программирования Вы регулярно используете для анализа данных?","Scala:Какие языки программирования Вы регулярно используете для анализа данных?","Lua:Какие языки программирования Вы регулярно используете для анализа данных?","Julia:Какие языки программирования Вы регулярно используете для анализа данных?","Matlab/Octave:Какие языки программирования Вы регулярно используете для анализа данных?","Другое — впишите::Какие языки программирования Вы регулярно используете для анализа данных?","Не использую:Какие инструменты для глубокого машинного обучения (deep learning) Вы используете?","TensorFlow:Какие инструменты для глубокого машинного обучения (deep learning) Вы используете?","Theano:Какие инструменты для глубокого машинного обучения (deep learning) Вы используете?","Torch:Какие инструменты для глубокого машинного обучения (deep learning) Вы используете?","Keras:Какие инструменты для глубокого машинного обучения (deep learning) Вы используете?","Другое — впишите::Какие инструменты для глубокого машинного обучения (deep learning) Вы используете?","Не использую:Какие инструменты для работы с BigData Вы используете? ","Apache Spark:Какие инструменты для работы с BigData Вы используете? ","Apache Samza:Какие инструменты для работы с BigData Вы используете? ","Apache Flink:Какие инструменты для работы с BigData Вы используете? ","Apache Hadoop/MapReduce:Какие инструменты для работы с BigData Вы используете? ","Apache Hive:Какие инструменты для работы с BigData Вы используете? ","Apache Pig:Какие инструменты для работы с BigData Вы используете? ","Apache Tez:Какие инструменты для работы с BigData Вы используете? ","Другое — впишите::Какие инструменты для работы с BigData Вы используете? ","Какой язык программирования Вы используете как основной для анализа данных?","Не использую:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на Python?","xgboost:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на Python?","StatsModels:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на Python?","NLTK:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на Python?","scikit-learn:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на Python?","Plotly:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на Python?","Bokeh:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на Python?","Matplotlib:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на Python?","pandas:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на Python?","NumPy:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на Python?","SciPy:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на Python?","gensim:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на Python?","seaborn:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на Python?","Другое — впишите::Какие библиотеки для анализа и визуализации данных Вы используете, программируя на Python?","Не использую:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","e1071:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","rpart:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","igraph:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","nnet:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","randomForest:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","caret:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","kernlab:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","glmnet:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","ROCR:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","gbm:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","party:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","arules:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","XGBoost:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","ggplot2:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","data.table:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","plotly:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","dplyr:Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","Другое — впишите::Какие библиотеки для анализа и визуализации данных Вы используете, программируя на R?","Jupyter/IPython notebook:Какие инструменты программирования для анализа данных Вы используете?","Zeppelin:Какие инструменты программирования для анализа данных Вы используете?","Spyder IDE:Какие инструменты программирования для анализа данных Вы используете?","Rodeo:Какие инструменты программирования для анализа данных Вы используете?","RStudio:Какие инструменты программирования для анализа данных Вы используете?","Visual Studio:Какие инструменты программирования для анализа данных Вы используете?","Visual Studio Code:Какие инструменты программирования для анализа данных Вы используете?","PyCharm:Какие инструменты программирования для анализа данных Вы используете?","IntelliJ IDEA:Какие инструменты программирования для анализа данных Вы используете?","Eclipse:Какие инструменты программирования для анализа данных Вы используете?","Atom:Какие инструменты программирования для анализа данных Вы используете?","Sublime:Какие инструменты программирования для анализа данных Вы используете?","Vim:Какие инструменты программирования для анализа данных Вы используете?","Другое — впишите::Какие инструменты программирования для анализа данных Вы используете?","Не использую:Какие визуальные средства для анализа данных Вы используете?","RapidMinder:Какие визуальные средства для анализа данных Вы используете?","KNIME:Какие визуальные средства для анализа данных Вы используете?","Alteryx:Какие визуальные средства для анализа данных Вы используете?","Angoss:Какие визуальные средства для анализа данных Вы используете?","Microsoft Azure ML:Какие визуальные средства для анализа данных Вы используете?","Dataiku:Какие визуальные средства для анализа данных Вы используете?","Domino Data Lab:Какие визуальные средства для анализа данных Вы используете?","Alpine Data Chorus:Какие визуальные средства для анализа данных Вы используете?","Другое — впишите::Какие визуальные средства для анализа данных Вы используете?","Не использую:Какие статистические пакеты для анализа/визуализации данных Вы используете?","Statistica:Какие статистические пакеты для анализа/визуализации данных Вы используете?","SPSS:Какие статистические пакеты для анализа/визуализации данных Вы используете?","Табличные редакторы (Microsoft Excel, OpenOffice Calc, Google Sheets и пр.):Какие статистические пакеты для анализа/визуализации данных Вы используете?","Stata:Какие статистические пакеты для анализа/визуализации данных Вы используете?","SAS:Какие статистические пакеты для анализа/визуализации данных Вы используете?","Tableau:Какие статистические пакеты для анализа/визуализации данных Вы используете?","Другое — впишите::Какие статистические пакеты для анализа/визуализации данных Вы используете?","Никакие:Какие виды обработки данных Вы используете?","Streaming/Real-Time:Какие виды обработки данных Вы используете?","Batch:Какие виды обработки данных Вы используете?","Другое — впишите::Какие виды обработки данных Вы используете?","В какой области Вы в основном применяете анализ данных:","Телеком / Telecom:В каких областях IT Вы применяете анализ данных?","Разработка игр (включая мобильные) / Game development (including mobile games):В каких областях IT Вы применяете анализ данных?","Мобильная разработка / Mobile development:В каких областях IT Вы применяете анализ данных?","Интернет вещей / встроенные системы / IoT / embedded:В каких областях IT Вы применяете анализ данных?","IT сервисы / IT services:В каких областях IT Вы применяете анализ данных?","Облачные вычисления / Cloud computing / platform:В каких областях IT Вы применяете анализ данных?","Анализ больших данных / Big Data / Data analysis:В каких областях IT Вы применяете анализ данных?","Компьютерное оборудование / Hardware:В каких областях IT Вы применяете анализ данных?","Услуги для дата-центров / Data centers services:В каких областях IT Вы применяете анализ данных?","Инструменты для разработки программного обеспечения / Software development tools:В каких областях IT Вы применяете анализ данных?","Интернет/ Поисковая оптимизация / Internet / Search engines:В каких областях IT Вы применяете анализ данных?","Полупроводники / Semiconductors:В каких областях IT Вы применяете анализ данных?","Электронное обучение / E-learning:В каких областях IT Вы применяете анализ данных?","Финансовые технологии / FinTech:В каких областях IT Вы применяете анализ данных?","Информационные технологии в здравоохранении / Healthcare IT:В каких областях IT Вы применяете анализ данных?","Компьютерная безопасность / Cybersecurity:В каких областях IT Вы применяете анализ данных?","Аутсорсинг бизнес-процессов / BPO services:В каких областях IT Вы применяете анализ данных?","Биоинформатика / Bioinformatics:В каких областях IT Вы применяете анализ данных?","Другое — впишите::В каких областях IT Вы применяете анализ данных?","Бухгалтерский учет/финансы/страхование:В каких областях Вы применяете анализ данных?","Администрирование/менеджмент:В каких областях Вы применяете анализ данных?","Банковское дело/недвижимость/ипотечное кредитование:В каких областях Вы применяете анализ данных?","Бизнес/стратегическое управление:В каких областях Вы применяете анализ данных?","Строительство/архитектура:В каких областях Вы применяете анализ данных?","Поддержка клиентов:В каких областях Вы применяете анализ данных?","Проектирование:В каких областях Вы применяете анализ данных?","Образование/обучение:В каких областях Вы применяете анализ данных?","Кадры:В каких областях Вы применяете анализ данных?","Информационные технологии/разработка ПО:В каких областях Вы применяете анализ данных?","Юридическая деятельность:В каких областях Вы применяете анализ данных?","Логистика/транспорт:В каких областях Вы применяете анализ данных?","Машины и оборудование:В каких областях Вы применяете анализ данных?","Производство:В каких областях Вы применяете анализ данных?","Маркетинг:В каких областях Вы применяете анализ данных?","Медицина/здравоохранение:В каких областях Вы применяете анализ данных?","Некоммерческая деятельность:В каких областях Вы применяете анализ данных?","Издательское дело:В каких областях Вы применяете анализ данных?","Рестораны/гостиницы:В каких областях Вы применяете анализ данных?","Торговля/дистрибуция/развитие бизнеса:В каких областях Вы применяете анализ данных?","Наука:В каких областях Вы применяете анализ данных?","Безопасность:В каких областях Вы применяете анализ данных?","Биоинформатика:В каких областях Вы применяете анализ данных?","Сервис/техническое обслуживание:В каких областях Вы применяете анализ данных?","Другое — впишите::В каких областях Вы применяете анализ данных?","Linux:Какую операционную систему (системы) Вы используете в качестве рабочего окружения, когда занимаетесь анализом данных?","Mac OS:Какую операционную систему (системы) Вы используете в качестве рабочего окружения, когда занимаетесь анализом данных?","Windows:Какую операционную систему (системы) Вы используете в качестве рабочего окружения, когда занимаетесь анализом данных?","Другое — впишите::Какую операционную систему (системы) Вы используете в качестве рабочего окружения, когда занимаетесь анализом данных?","Локальный компьютер:Где Вы производите вычисления?","Кластер от 4 до 10 узлов:Где Вы производите вычисления?","Кластер от 10 до 50 узлов:Где Вы производите вычисления?","Кластер 50 узлов и более:Где Вы производите вычисления?","Облачный сервис:Где Вы производите вычисления?","Другое — впишите::Где Вы производите вычисления?","К какому диапазону относится Ваш возраст?","Каким образом Вы в основном трудоустроены?  Если Вы студент очного отделения, то, даже если Вы трудоустроены, пожалуйста, выберите вариант ""студент"".","Укажите полученное Вами образование:","Как долго Вы работаете в сфере анализа данных?","На каком курсе Вы учитесь:","Укажите уровень Вашей квалификации:","Занимаете ли Вы руководящую позицию?","Укажите интервал, к которому относится сумма Вашей заработной платы, полученной ""на руки"" в прошлом месяце (в рублях, исключая премии):"
"Основной профессиональной деятельностью","Обработка данных",NA,"Разработка моделей (исследования)","Разработка моделей (для регулярных расчетов)",NA,"Визуализация данных",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","Python",NA,"Scala",NA,NA,NA,NA,NA,"TensorFlow",NA,"Torch","Keras",NA,NA,"Apache Spark",NA,NA,"Apache Hadoop/MapReduce",NA,NA,NA,NA,"Python",NA,"xgboost","StatsModels",NA,"scikit-learn",NA,"Bokeh","Matplotlib","pandas","NumPy",NA,NA,"seaborn",NA,NA,NA,NA,NA,"nnet","randomForest","caret",NA,NA,"ROCR",NA,"party",NA,"XGBoost","ggplot2","data.table","plotly","dplyr",NA,"Jupyter/IPython notebook",NA,NA,NA,"RStudio",NA,NA,"PyCharm","IntelliJ IDEA",NA,NA,NA,NA,NA,"Не использую",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Табличные редакторы (Microsoft Excel, OpenOffice Calc, Google Sheets и пр.)",NA,NA,"Tableau",NA,NA,NA,"Batch",NA,"B сфере IT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Финансовые технологии / FinTech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linux",NA,"Windows",NA,"Локальный компьютер",NA,NA,NA,NA,NA,"21-29","Полная занятость по найму",NA,"от 1 до 3 лет",NA,"Специалист / Middle","Нет","60 000 – 119 999"
"Хобби",NA,NA,NA,NA,NA,NA,NA,"Обработка данных","Базовая статистика",NA,"Разработка моделей (для регулярных расчетов)",NA,"Визуализация данных",NA,NA,"R","Python",NA,NA,NA,NA,NA,NA,"Не использую",NA,NA,NA,NA,NA,"Не использую",NA,NA,NA,NA,NA,NA,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NumPy","SciPy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ggplot2","data.table",NA,"dplyr",NA,NA,NA,NA,NA,"RStudio",NA,NA,"PyCharm",NA,NA,NA,"Sublime",NA,NA,"Не использую",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Табличные редакторы (Microsoft Excel, OpenOffice Calc, Google Sheets и пр.)",NA,NA,NA,NA,NA,NA,"Batch",NA,"В другой сфере",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бухгалтерский учет/финансы/страхование",NA,"Банковское дело/недвижимость/ипотечное кредитование","Бизнес/стратегическое управление",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mac OS",NA,NA,"Локальный компьютер",NA,NA,NA,NA,NA,"30-39","Полная занятость по найму",NA,"от 1 до 3 лет",NA,"Стажер / Trainee","Нет","0 – 59 999"
"Дополнительной деятельностью, наряду с другими должностными или профессиональными обязанностями","Обработка данных","Базовая статистика","Разработка моделей (исследования)",NA,"Развертывание моделей в продакшн",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Python","Java",NA,NA,NA,NA,"Другое — впишите:",NA,"TensorFlow","Theano","Torch","Keras",NA,NA,"Apache Spark",NA,NA,NA,NA,NA,NA,"Другое — впишите:","Python",NA,"xgboost",NA,"NLTK","scikit-learn","Plotly",NA,"Matplotlib","pandas","NumPy","SciPy","gensim","seaborn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jupyter/IPython notebook",NA,NA,NA,NA,NA,NA,"PyCharm","IntelliJ IDEA",NA,NA,"Sublime",NA,NA,"Не использую",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tableau",NA,NA,NA,"Batch",NA,"B сфере IT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Аутсорсинг бизнес-процессов / BPO services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linux","Mac OS","Windows",NA,"Локальный компьютер","Кластер от 4 до 10 узлов",NA,NA,NA,NA,"21-29","Полная занятость по найму",NA,"от 1 до 3 лет",NA,"Старший специалист / Senior","Нет","120 000 – 179 999"
"Основной профессиональной деятельностью",NA,NA,"Разработка моделей (исследования)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Другое — впишите:","Не использую",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"xgboost",NA,NA,"scikit-learn","Plotly","Bokeh","Matplotlib","pandas","NumPy","SciPy",NA,"seaborn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jupyter/IPython notebook",NA,NA,NA,NA,NA,"Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Другое — впишите:",NA,NA,NA,NA,NA,NA,NA,"Другое — впишите:","Никакие",NA,NA,NA,"B сфере IT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Информационные технологии в здравоохранении / Healthcare IT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linux","Mac OS",NA,NA,NA,NA,"Кластер от 10 до 50 узлов",NA,NA,NA,"21-29","Полная занятость по найму",NA,"от 3 до 6 лет",NA,"Старший специалист / Senior","Да","180 000 – 239 999"
"Дополнительной деятельностью, наряду с другими должностными или профессиональными обязанностями","Обработка данных","Базовая статистика","Разработка моделей (исследования)",NA,NA,"Визуализация данных",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","Python",NA,NA,NA,NA,"Matlab/Octave",NA,NA,"TensorFlow",NA,NA,NA,NA,NA,"Apache Spark",NA,NA,"Apache Hadoop/MapReduce",NA,NA,NA,NA,"Python",NA,NA,NA,"NLTK",NA,NA,NA,"Matplotlib","pandas","NumPy","SciPy",NA,NA,NA,NA,NA,NA,NA,"nnet",NA,NA,"kernlab",NA,NA,NA,NA,NA,NA,"ggplot2",NA,"plotly","dplyr",NA,"Jupyter/IPython notebook",NA,NA,NA,"RStudio",NA,NA,"PyCharm",NA,NA,NA,"Sublime",NA,NA,"Не использую",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Табличные редакторы (Microsoft Excel, OpenOffice Calc, Google Sheets и пр.)",NA,NA,"Tableau","Другое — впишите:",NA,"Streaming/Real-Time","Batch",NA,"В другой сфере",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Банковское дело/недвижимость/ипотечное кредитование",NA,NA,NA,NA,"Образование/обучение",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Наука",NA,NA,NA,NA,NA,NA,"Windows",NA,"Локальный компьютер",NA,NA,"Кластер 50 узлов и более","Облачный сервис",NA,"21-29","Студент","Аспирант","от 3 до 6 лет","3",NA,NA,NA
"Основной профессиональной деятельностью","Обработка данных","Базовая статистика","Разработка моделей (исследования)","Разработка моделей (для регулярных расчетов)",NA,"Визуализация данных",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Python",NA,NA,NA,NA,NA,NA,"Не использую",NA,NA,NA,NA,NA,"Не использую",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"xgboost","StatsModels","NLTK","scikit-learn","Plotly",NA,"Matplotlib","pandas","NumPy","SciPy",NA,"seaborn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jupyter/IPython notebook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Другое — впишите:",NA,"RapidMinder",NA,NA,NA,NA,NA,NA,NA,NA,"Не использую",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Batch",NA,"В другой сфере",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бухгалтерский учет/финансы/страхование",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linux",NA,"Windows",NA,"Локальный компьютер",NA,NA,NA,"Облачный сервис",NA,"21-29","Полная занятость по найму",NA,"от 3 до 6 лет",NA,"Специалист / Middle","Да","60 000 – 119 999"
"Основной профессиональной деятельностью","Обработка данных","Базовая статистика","Разработка моделей (исследования)","Разработка моделей (для регулярных расчетов)","Развертывание моделей в продакшн","Визуализация данных",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Python",NA,NA,NA,NA,"Matlab/Octave",NA,"Не использую",NA,NA,NA,NA,NA,"Не использую",NA,NA,NA,NA,NA,NA,NA,NA,"Matlab/Octave",NA,"xgboost",NA,"NLTK","scikit-learn","Plotly",NA,"Matplotlib","pandas","NumPy","SciPy","gensim","seaborn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jupyter/IPython notebook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Другое — впишите:",NA,NA,NA,NA,NA,NA,NA,"Другое — впишите:",NA,NA,"Batch",NA,"B сфере IT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Финансовые технологии / FinTech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Windows",NA,"Локальный компьютер",NA,NA,NA,NA,NA,"21-29","Полная занятость по найму",NA,"от 3 до 6 лет",NA,"Специалист / Middle","Нет","60 000 – 119 999"
"Дополнительной деятельностью, наряду с другими должностными или профессиональными обязанностями","Обработка данных","Базовая статистика",NA,NA,NA,"Визуализация данных",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Python","Java",NA,NA,NA,NA,NA,NA,"TensorFlow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Другое — впишите:","Python",NA,NA,NA,NA,"scikit-learn","Plotly",NA,NA,"pandas","NumPy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jupyter/IPython notebook",NA,NA,NA,NA,NA,NA,"PyCharm","IntelliJ IDEA",NA,NA,NA,NA,NA,NA,"RapidMinder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Табличные редакторы (Microsoft Excel, OpenOffice Calc, Google Sheets и пр.)",NA,NA,NA,NA,NA,NA,"Batch",NA,"В другой сфере",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Банковское дело/недвижимость/ипотечное кредитование",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Торговля/дистрибуция/развитие бизнеса",NA,NA,NA,NA,NA,NA,NA,"Windows",NA,"Локальный компьютер",NA,NA,NA,NA,NA,"40-49","Полная занятость по найму",NA,"от 1 до 3 лет",NA,"Старший специалист / Senior","Да","120 000 – 179 999"
"Дополнительной деятельностью, наряду с другими должностными или профессиональными обязанностями",NA,NA,"Разработка моделей (исследования)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Python",NA,NA,NA,NA,NA,NA,NA,"TensorFlow",NA,NA,"Keras",NA,"Не использую",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scikit-learn","Plotly",NA,NA,"pandas","NumPy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Другое — впишите:","Не использую",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Не использую",NA,NA,NA,NA,NA,NA,NA,"Никакие",NA,NA,NA,"B сфере IT",NA,NA,NA,NA,NA,NA,"Анализ больших данных / Big Data / Data analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mac OS",NA,NA,"Локальный компьютер",NA,NA,NA,NA,NA,"21-29","Студент","Бакалавр","менее 1 года","2",NA,NA,NA
"Основной профессиональной деятельностью","Обработка данных","Базовая статистика","Разработка моделей (исследования)","Разработка моделей (для регулярных расчетов)","Развертывание моделей в продакшн",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Python",NA,NA,NA,NA,NA,NA,NA,"TensorFlow",NA,NA,NA,NA,NA,"Apache Spark",NA,NA,NA,"Apache Hive",NA,"Apache Tez",NA,NA,NA,"xgboost",NA,NA,"scikit-learn",NA,NA,NA,"pandas","NumPy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jupyter/IPython notebook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Не использую",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Не использую",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Batch",NA,"В другой сфере",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Маркетинг",NA,NA,NA,NA,"Торговля/дистрибуция/развитие бизнеса",NA,NA,NA,NA,NA,NA,NA,"Windows",NA,NA,NA,"Кластер от 10 до 50 узлов",NA,"Облачный сервис",NA,"21-29","Полная занятость по найму",NA,"от 3 до 6 лет",NA,"Специалист / Middle","Да","120 000 – 179 999"
"Хобби",NA,NA,NA,NA,NA,NA,NA,"Обработка данных","Базовая статистика","Разработка моделей (исследования)",NA,NA,"Визуализация данных",NA,NA,NA,"Python",NA,NA,NA,NA,"Matlab/Octave",NA,NA,"TensorFlow",NA,NA,NA,NA,"Не использую",NA,NA,NA,NA,NA,NA,NA,NA,"Python",NA,"xgboost",NA,NA,"scikit-learn",NA,NA,"Matplotlib","pandas","NumPy",NA,NA,"seaborn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jupyter/IPython notebook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Не использую",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Statistica",NA,NA,NA,NA,NA,NA,NA,NA,"Batch",NA,"B сфере IT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Финансовые технологии / FinTech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linux",NA,"Windows",NA,"Локальный компьютер",NA,NA,NA,"Облачный сервис",NA,"30-39","Полная занятость по найму",NA,"менее 1 года",NA,"Младший специалист / Junior","Нет","60 000 – 119 999"
